a,b,f
6.403605484505981,-0.7139459570213198,1
-3.8426401076667482,2.3644422916131784,0
4.579477185816341,-2.777321230943482,1
0.7998354948661408,-1.6559252927806192,1
9.281140502934814,-4.557720591727841,1
1.257994835330944,-3.4216598175784987,1
0.08059461531830081,-1.0336951285771274,1
2.3288396861738487,1.7297626866127374,0
0.769618429008684,5.050659351407367,0
3.4532838569507973,3.2190396064056177,0
-7.308802405423138,4.3070760447827565,0
6.244713854960519,3.3134072049220684,1
9.402139223636713,5.212833115817048,1
-8.67067591330631,0.2926644822447386,0
0.1009527388587621,-4.297077751026011,1
-5.804886643538182,5.967254286545732,0
4.14263040716677,9.921964112221602,0
0.9674230349870748,2.392088823268409,0
9.042313701441904,-9.124387182197683,1
9.40476207035394,6.300042863153045,0
1.4028866142176393,4.4271993892526105,0
0.7639625919094932,-7.796327624749058,1
3.246254185518469,-0.8387257994999349,1
9.602215457327793,-9.537527645012345,1
-8.584773765506315,6.6545053679714075,0
-9.06648991603937,3.388718293519645,0
-5.295032050586137,-3.037698308575352,0
9.184675005495144,6.79441965832827,0
9.353084978109358,-1.9410447309145304,1
-2.7964454344489065,-6.748621061410666,1
-5.515859384095278,5.439537356898337,0
6.545361751256063,-1.0590372755591309,1
7.947368957960388,-3.178210087575078,1
-0.15315098051340925,-3.0198778812308475,1
-0.7061104319305134,4.326912817184031,0
8.941092520289374,-8.119592481332365,1
9.991619191755904,0.7080888870722841,1
-0.0897482542174739,6.19484051115046,0
5.3888365837157295,-6.509052596400711,1
1.1297015882653518,5.587323298549824,0
9.639015158717193,-4.615182793174656,1
7.179999922620972,1.094522309266317,1
-0.9669069108176488,-8.714480753841949,1
4.672062168077499,-7.193044841098749,1
3.288371905382561,-2.2253511741367493,1
8.568100176801593,-9.30765070294724,1
2.388113230911717,4.2270944181594,0
-3.1719477734364303,-5.236210667791153,1
-3.5061124849904357,-8.916662670973107,1
-9.857499357555783,0.7966070368415537,0
4.385796695616309,-3.2909156987057813,1
-1.521495348424434,0.20921241906280488,0
3.832312554107944,0.4532170508998412,1
-1.0178822275896966,-3.982303372892327,1
-4.284922138307672,-3.571350181893484,1
-9.622162633649683,-6.289329855660144,0
-1.8048553696025564,9.02462361548745,0
-9.160111152145864,0.3410833309402257,0
-2.4100829140298408,1.2040017679384205,0
-2.0398784320618173,-2.332249983241259,1
-4.135434707587336,-3.090207313740408,1
-9.95730050794586,4.088342899043038,0
-1.5048962122265068,3.2232343413113043,0
-5.964784362962368,-5.091894836944778,1
-2.3969897893619234,8.884886069410738,0
-7.672299962118262,4.2179100559203455,0
-7.3968151779542755,-7.664750723921312,1
2.7440532820944363,5.6679236404918525,0
3.1426044934980912,-7.268731851424852,1
4.382084025459125,-9.570088088687072,1
